date,weight [kg],body fat [%],fat [kg],run [min.],cycling [min.],warming up,sit-up [times],back-extension [times],press-up [times],squat [times],calf [times],dumbbell
2013/5/10,58.4 ,15.6,9.1104,0,0,TRUE,60,60,30,0,0,FALSE
2013/5/11,59.2 ,17.3,10.2416,0,0,FALSE,0,0,0,0,0,FALSE
2013/5/12,,,,30,0,TRUE,60,60,35,0,0,FALSE
2013/5/13,59.0 ,15.7,9.263,30,0,TRUE,60,60,30,0,0,FALSE
2013/5/14,58.2 ,14.9,8.6718,30,0,TRUE,70,70,30,0,0,FALSE
2013/5/15,,,,0,0,FALSE,0,0,0,0,0,FALSE
2013/5/16,,,,0,0,TRUE,70,70,0,30,0,FALSE
2013/5/17,58.8 ,16.4,9.6432,30,0,TRUE,70,70,30,30,0,FALSE
2013/5/18,58.8 ,16.4,9.6432,30,0,TRUE,30,30,30,30,20,FALSE
2013/5/19,58.8 ,15.5,9.114,0,0,TRUE,0,0,0,0,0,FALSE
2013/5/20,58.9 ,15.8,9.3062,30,0,TRUE,30,30,50,30,30,FALSE
2013/5/21,58.4 ,15.2,8.8768,30,0,TRUE,0,0,0,0,0,TRUE
2013/5/22,58.5 ,15,8.775,30,0,TRUE,30,0,0,30,30,FALSE
2013/5/23,58.5 ,15,8.775,30,0,TRUE,0,0,0,0,0,TRUE
2013/5/24,58.4 ,15.3,8.9352,0,0,FALSE,0,0,0,0,0,FALSE
2013/5/25,58.2 ,14.9,8.6718,20,0,TRUE,30,0,0,30,0,TRUE
2013/5/26,,,,0,0,FALSE,0,0,0,0,0,FALSE
2013/5/27,58.3 ,15.1,8.8033,30,0,TRUE,30,0,0,0,0,TRUE
2013/5/28,58.7 ,14.5,8.5115,30,0,FALSE,0,0,0,0,0,FALSE
2013/5/29,58.5 ,15.1,8.8335,0,0,TRUE,30,0,0,30,0,TRUE
2013/5/30,57.8 ,14.3,8.2654,0,0,TRUE,30,20,10,30,0,TRUE
2013/5/31,57.9 ,14.6,8.4534,0,60,TRUE,0,0,0,0,0,FALSE
2013/6/1,57.5 ,14.3,8.2225,30,80,TRUE,0,0,30,0,0,TRUE
2013/6/2,57.4 ,14.3,8.2082,0,80,TRUE,0,0,0,0,0,FALSE
2013/6/3,57.3 ,14.1,8.0793,0,40,TRUE,0,0,0,0,0,FALSE
2013/6/4,57.4 ,14.6,8.3804,0,40,TRUE,30,0,30,0,0,TRUE
2013/6/5,57.4 ,14.9,8.5526,30,0,TRUE,60,0,0,0,0,FALSE
2013/6/6,57.1 ,13.9,7.9369,0,0,TRUE,80,0,0,30,0,TRUE
2013/6/7,56.9 ,14.3,8.1367,40,0,TRUE,60,30,0,0,0,TRUE
2013/6/8,,,,0,60,TRUE,0,0,0,0,0,FALSE
2013/6/9,57.2 ,14.9,8.5228,0,120,TRUE,90,60,0,0,0,TRUE
2013/6/10,,,,0,0,FALSE,0,0,0,0,0,FALSE
2013/6/11,57.3 ,14,8.022,40,0,TRUE,90,50,30,0,0,TRUE
2013/6/12,57.1 ,14.9,8.5079,0,0,FALSE,0,0,0,0,0,FALSE
2013/6/13,56.6 ,14.2,8.0372,30,40,TRUE,90,50,30,30,0,TRUE
2013/6/14,56.9 ,14.7,8.3643,30,0,FALSE,0,0,0,0,0,FALSE
2013/6/15,56.6 ,14.3,8.0938,0,60,TRUE,90,50,35,30,30,TRUE
2013/6/16,56.1 ,13.5,7.5735,30,0,TRUE,0,0,0,0,0,FALSE
2013/6/17,56.3 ,13.9,7.8257,0,0,FALSE,0,0,0,0,0,FALSE
2013/6/18,55.9 ,13.4,7.4906,0,0,TRUE,90,60,40,50,50,TRUE
2013/6/19,,,,0,0,TRUE,90,60,30,30,30,TRUE
2013/6/20,,,,,,,,,,,,
2013/6/21,,,,0,0,TRUE,100,60,60,60,60,FALSE
2013/6/22,,,,0,0,TRUE,100,90,60,60,60,FALSE
2013/6/23,,,,0,0,FALSE,0,0,0,0,0,FALSE
2013/6/24,56.6,13,7.358,0,0,FALSE,0,0,0,0,0,FALSE
2013/6/25,56.4,13.7,7.7268,0,0,TRUE,100,60,0,60,60,TRUE
2013/6/26,55.3,12.8,7.0784,30,0,FALSE,0,0,0,0,0,FALSE
2013/6/27,55.6,13.2,7.3392,0,0,FALSE,0,0,0,0,0,FALSE
2013/6/28,55.5 ,13,7.215,0,0,TRUE,100,100,0,60,60,TRUE
2013/6/29,55.1,12.6,6.9426,0,90,TRUE,0,0,0,0,0,FALSE
2013/6/30,56,13.8,7.728,0,0,FALSE,0,0,0,0,0,FALSE
2013/7/1,56.2,13.3,7.4746,0,40,TRUE,100,100,0,0,0,TRUE
2013/7/2,56.4,13.2,7.4448,30,30,TRUE,0,0,0,0,0,FALSE
2013/7/3,,,,,,,,,,,,
2013/7/4,55.7,13,7.241,30,0,TRUE,90,100,0,0,0,TRUE
